%CPU,%MEM,PSR,TIME,PID,CMD
1.4,0.8,5,65,6622,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/531.deepsjeng_r.test.base --lognum 005.0.6 531.deepsjeng_r
0.0,0.0,7,65,6755,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,5,65,6756,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/531.deepsjeng_r.test.base --lognum 005.0.6 531.deepsjeng_r
5.6,6.0,6,65,6758,../run_base_test_mytest-64.0000/deepsjeng_r_base.mytest-64 test.txt
0.6,0.8,6,70,6622,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/531.deepsjeng_r.test.base --lognum 005.0.6 531.deepsjeng_r
0.0,0.0,4,70,6755,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,6,70,6756,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/531.deepsjeng_r.test.base --lognum 005.0.6 531.deepsjeng_r
4.2,6.0,7,70,6758,../run_base_test_mytest-64.0000/deepsjeng_r_base.mytest-64 test.txt
2.8,0.8,5,1245,21335,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/531.deepsjeng_r.test.base --lognum 006.0.6 531.deepsjeng_r
0.0,0.0,0,1245,21419,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,5,1245,21420,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/531.deepsjeng_r.test.base --lognum 006.0.6 531.deepsjeng_r
14.4,6.0,7,1245,21422,../run_base_test_mytest-64.0000/deepsjeng_r_base.mytest-64 test.txt
1.7,0.8,7,1250,21335,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/531.deepsjeng_r.test.base --lognum 006.0.6 531.deepsjeng_r
0.0,0.0,7,1250,21419,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,0,1250,21420,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/531.deepsjeng_r.test.base --lognum 006.0.6 531.deepsjeng_r
15.8,6.0,6,1250,21422,../run_base_test_mytest-64.0000/deepsjeng_r_base.mytest-64 test.txt
