%CPU,%MEM,PSR,TIME,PID,CMD
5.6,6.0,6,65,6758,../run_base_test_mytest-64.0000/deepsjeng_r_base.mytest-64 test.txt
4.2,6.0,7,70,6758,../run_base_test_mytest-64.0000/deepsjeng_r_base.mytest-64 test.txt
14.4,6.0,7,1245,21422,../run_base_test_mytest-64.0000/deepsjeng_r_base.mytest-64 test.txt
15.8,6.0,6,1250,21422,../run_base_test_mytest-64.0000/deepsjeng_r_base.mytest-64 test.txt
101,6.0,7,1325,23800,../run_peak_test_mytest-64.0000/deepsjeng_r_peak.mytest-64 test.txt
30.0,6.0,7,1590,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
49.4,6.0,7,1595,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
56.3,6.0,7,1600,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
64.1,6.0,7,1605,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
69.6,6.0,7,1610,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
61.9,6.0,7,1615,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
60.7,6.0,7,1620,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
47.8,6.0,6,1625,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
39.8,6.0,6,1630,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
35.2,6.0,7,1635,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
36.6,6.0,6,1640,27661,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
102,6.0,6,1820,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
100,6.0,6,1825,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
100,6.0,6,1830,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
99.9,6.0,6,1835,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
100,6.0,6,1840,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
99.7,6.0,6,1845,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
99.8,6.0,6,1850,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
99.8,6.0,6,1855,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
78.4,6.0,6,1860,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
74.6,6.0,7,1865,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
53.8,6.0,6,1870,29495,../run_peak_train_mytest-64.0000/deepsjeng_r_peak.mytest-64 train.txt
107,6.0,6,4810,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
106,6.0,7,4810,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
99.0,6.0,7,4815,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
98.8,6.0,6,4815,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
28.5,6.0,6,4820,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
28.5,6.0,7,4820,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
26.2,6.0,6,4825,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
26.2,6.0,7,4825,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
26.8,6.0,7,4830,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
26.8,6.0,6,4830,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.9,6.0,7,4835,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.9,6.0,6,4835,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
25.0,6.0,7,4840,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.9,6.0,6,4840,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.3,6.0,7,4845,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.3,6.0,6,4845,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
25.0,6.0,6,4850,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
25.0,6.0,7,4850,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.8,6.0,7,4855,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.8,6.0,6,4855,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.2,6.0,6,4860,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.2,6.0,7,4860,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.1,6.0,7,4865,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.1,6.0,6,4865,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.5,6.0,7,4870,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.5,6.0,6,4870,29275,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
24.4,6.0,7,4875,29274,../run_base_refrate_mytest-64.0007/deepsjeng_r_base.mytest-64 ref.txt
