%CPU,%MEM,PSR,TIME,PID,CMD
1.8,0.8,4,80,7031,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/541.leela_r.test.base --lognum 005.0.7 541.leela_r
0.4,0.0,7,80,7094,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/541.leela_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.2,0.7,2,80,7095,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/541.leela_r.test.base --lognum 005.0.7 541.leela_r
22.0,0.1,7,80,7097,../run_base_test_mytest-64.0000/leela_r_base.mytest-64 test.sgf
0.6,0.8,7,85,7031,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/541.leela_r.test.base --lognum 005.0.7 541.leela_r
0.0,0.0,5,85,7094,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/541.leela_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,2,85,7095,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/541.leela_r.test.base --lognum 005.0.7 541.leela_r
3.4,0.1,7,85,7097,../run_base_test_mytest-64.0000/leela_r_base.mytest-64 test.sgf
4.5,0.8,5,1260,21596,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.006.0/templogs/541.leela_r.test.base --lognum 006.0.7 541.leela_r
0.1,0.0,5,1260,21650,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/541.leela_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
