%CPU,%MEM,PSR,TIME,PID,CMD
97.0,1.6,6,35,5910,../run_base_test_mytest-64.0000/mcf_r_base.mytest-64 inp.in
8.4,0.0,6,140,8406,../run_peak_test_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
7.0,1.9,7,145,8406,../run_peak_test_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
98.0,1.3,6,1215,20730,../run_base_test_mytest-64.0000/mcf_r_base.mytest-64 inp.in
101,0.0,6,1300,23469,../run_peak_test_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
0.0,0.1,5,1445,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
94.1,0.1,6,1450,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
59.4,0.1,7,1455,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
36.5,0.1,6,1460,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
17.2,0.1,6,1465,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
19.6,2.8,7,1470,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
17.9,4.3,7,1475,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
17.1,4.7,7,1480,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
17.4,4.7,6,1485,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
16.3,4.7,6,1490,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
17.4,4.7,6,1495,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
15.3,4.7,7,1500,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
13.7,4.7,7,1505,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
13.8,4.7,6,1510,25941,../run_base_train_mytest-64.0000/mcf_r_base.mytest-64 inp.in
12.9,0.1,6,1730,29081,../run_peak_train_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
23.1,0.1,6,1735,29081,../run_peak_train_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
31.5,0.1,7,1740,29081,../run_peak_train_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
38.1,2.8,6,1745,29081,../run_peak_train_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
44.1,4.4,6,1750,29081,../run_peak_train_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
49.0,4.7,6,1755,29081,../run_peak_train_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
45.8,4.7,6,1760,29081,../run_peak_train_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
36.8,4.7,6,1765,29081,../run_peak_train_mytest-64.0000/mcf_r_peak.mytest-64 inp.in
