%CPU,%MEM,PSR,TIME,PID,CMD
101,1.4,7,45,6133,../run_base_test_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
34.3,0.3,6,155,8862,../run_peak_test_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
12.7,1.4,6,160,8862,../run_peak_test_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
12.3,1.3,7,1225,20914,../run_base_test_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
103,1.4,7,1310,23576,../run_peak_test_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
20.9,1.3,6,1470,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.7,1.5,6,1475,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.4,1.6,6,1480,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
14.9,1.6,7,1485,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.5,1.6,7,1490,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
15.7,1.6,7,1495,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.0,1.7,6,1500,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
11.2,1.7,6,1505,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
11.5,1.8,7,1510,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
11.7,1.8,7,1515,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
12.0,1.8,7,1520,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
12.8,1.8,6,1525,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
14.1,1.8,6,1530,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
15.5,1.8,6,1535,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
14.5,1.8,6,1540,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
14.0,1.9,6,1545,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.8,1.9,7,1550,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.5,1.9,7,1555,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.8,1.9,7,1560,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.9,1.9,7,1565,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.8,1.9,7,1570,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.6,1.9,7,1575,26132,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
118,0.9,6,1740,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
84.1,1.5,7,1745,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
91.1,1.6,7,1750,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
93.6,1.6,7,1755,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
66.0,1.7,7,1760,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
41.0,1.8,7,1765,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
45.2,1.8,6,1770,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
47.6,1.8,7,1775,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
51.1,1.8,7,1780,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
54.2,1.8,7,1785,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
56.9,1.8,7,1790,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
58.8,1.9,7,1795,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
61.0,1.9,7,1800,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
62.9,1.9,7,1805,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
64.6,1.9,7,1810,29222,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
105,0.7,6,3395,15615,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
102,0.7,7,3395,15616,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
22.3,1.5,7,3400,15615,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
22.4,1.5,6,3400,15616,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
30.5,1.6,7,3405,15615,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
30.5,1.6,6,3405,15616,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
28.0,1.6,6,3410,15615,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
28.0,1.6,7,3410,15616,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
26.8,1.6,6,3415,15615,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
26.8,1.6,7,3415,15616,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
23.7,1.7,7,3420,15615,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
23.7,1.7,6,3420,15616,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
24.6,1.8,6,3425,15615,../run_base_refrate_mytest-64.0007/omnetpp_r_base.mytest-64 -c General -r 0
