%CPU,%MEM,PSR,TIME,PID,CMD
100,0.3,6,60,6586,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/525.x264_r.test.base --lognum 005.0.5 525.x264_r
2.9,0.8,7,65,6586,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/525.x264_r.test.base --lognum 005.0.5 525.x264_r
0.3,0.0,4,65,6773,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_base_test_mytest-64.0000 -f inputgen.cmd -e inputgen.err -o inputgen.stdout
0.0,0.7,7,65,6774,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/525.x264_r.test.base --lognum 005.0.5 525.x264_r
1.8,0.8,6,70,6586,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/525.x264_r.test.base --lognum 005.0.5 525.x264_r
0.1,0.0,4,70,6850,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,6,70,6851,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/525.x264_r.test.base --lognum 005.0.5 525.x264_r
2.9,1.0,6,70,6854,../run_base_test_mytest-64.0000/x264_r_base.mytest-64 --dumpyuv 50 --frames 156 -o BuckBunny_New.264 BuckBunny.yuv 1280x720
1.2,0.8,7,75,6586,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.005.0/templogs/525.x264_r.test.base --lognum 005.0.5 525.x264_r
0.0,0.0,7,75,6850,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
