USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,442,46.9,0.8,98368,94936,pts/0,S,19:41,235,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.test.base --lognum 009.0.6 531.deepsjeng_r
root,562,0.0,0.0,2228,780,pts/0,S,19:41,235,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,565,0.0,0.7,98368,92560,pts/0,S,19:41,235,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.test.base --lognum 009.0.6 531.deepsjeng_r
root,570,102,6.0,717276,716180,pts/0,R,19:41,235,../run_base_test_mytest-64.0000/deepsjeng_r_base.mytest-64 test.txt
root,442,11.5,0.8,98368,94936,pts/0,S,19:41,240,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.test.base --lognum 009.0.6 531.deepsjeng_r
root,562,0.0,0.0,2228,780,pts/0,S,19:41,240,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,565,0.1,0.7,98368,92560,pts/0,S,19:41,240,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.test.base --lognum 009.0.6 531.deepsjeng_r
root,570,99.1,6.0,717276,716180,pts/0,R,19:41,240,../run_base_test_mytest-64.0000/deepsjeng_r_base.mytest-64 test.txt
root,2908,82.4,0.8,98348,94916,pts/0,S,19:43,310,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 17 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.test.peak --lognum 009.0.17 531.deepsjeng_r
root,2984,0.0,0.0,2228,772,pts/0,S,19:43,310,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_peak_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
