USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,753,34.7,0.8,98140,94692,pts/0,S,19:41,255,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.test.base --lognum 009.0.8 548.exchange2_r
root,964,0.0,0.0,2228,776,pts/0,S,19:41,255,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/548.exchange2_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,965,0.0,0.7,98140,92312,pts/0,S,19:41,255,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.test.base --lognum 009.0.8 548.exchange2_r
root,1006,100,0.0,4652,1096,pts/0,R,19:41,255,../run_base_test_mytest-64.0000/exchange2_r_base.mytest-64 0
root,753,4.0,0.8,98140,94692,pts/0,S,19:41,260,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.test.base --lognum 009.0.8 548.exchange2_r
root,964,0.0,0.0,2228,776,pts/0,S,19:41,260,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/548.exchange2_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,965,0.0,0.7,98140,92312,pts/0,S,19:41,260,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.test.base --lognum 009.0.8 548.exchange2_r
root,1006,25.4,0.0,4652,1096,pts/0,R,19:41,260,../run_base_test_mytest-64.0000/exchange2_r_base.mytest-64 0
root,3125,110,0.5,73228,69844,pts/0,R,19:43,330,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 19 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.test.peak --lognum 009.0.19 548.exchange2_r
root,3125,17.6,0.8,98064,94632,pts/0,S,19:43,335,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 19 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.test.peak --lognum 009.0.19 548.exchange2_r
root,3188,0.0,0.0,2228,772,pts/0,S,19:43,335,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/548.exchange2_r/run/run_peak_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,3195,0.2,0.7,98064,91700,pts/0,S,19:43,335,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 19 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.test.peak --lognum 009.0.19 548.exchange2_r
root,3198,100,0.0,4588,1100,pts/0,R,19:43,335,../run_peak_test_mytest-64.0000/exchange2_r_peak.mytest-64 0
