USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,27017,55.8,0.3,48544,45860,pts/0,R,15:47,60,../run_base_test_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,32598,101,1.2,154184,151368,pts/0,R,19:41,220,../run_base_test_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,2562,101,1.3,163768,160676,pts/0,R,19:43,300,../run_peak_test_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
root,4724,101,1.4,169232,166484,pts/0,R,19:45,440,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,97.9,1.5,180452,177636,pts/0,R,19:45,445,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.4,1.6,194840,192156,pts/0,R,19:45,450,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.3,1.6,194840,192156,pts/0,R,19:45,455,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,97.7,1.6,196292,193476,pts/0,R,19:45,460,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,97.9,1.6,199724,196908,pts/0,R,19:45,465,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,97.9,1.7,204476,201660,pts/0,R,19:45,470,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,97.8,1.7,211604,208788,pts/0,R,19:45,475,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,97.7,1.8,215960,213004,pts/0,R,19:45,480,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,97.7,1.8,217412,214588,pts/0,R,19:45,485,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,97.8,1.8,217412,214588,pts/0,R,19:45,490,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.0,1.8,217412,214588,pts/0,R,19:45,495,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.1,1.8,217412,214588,pts/0,R,19:45,500,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.1,1.8,219920,216964,pts/0,R,19:45,505,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.2,1.8,221636,218812,pts/0,R,19:45,510,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.3,1.8,222956,220112,pts/0,R,19:45,515,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.3,1.8,224804,221960,pts/0,R,19:45,520,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.3,1.9,227708,224864,pts/0,R,19:45,525,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.4,1.9,229556,226712,pts/0,R,19:45,530,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.4,1.9,229556,226712,pts/0,R,19:45,535,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.5,1.9,229556,226712,pts/0,R,19:45,540,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.4,1.9,229556,226712,pts/0,R,19:45,545,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.5,1.9,229556,226712,pts/0,R,19:45,550,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,4724,98.5,1.9,229556,226712,pts/0,R,19:45,555,../run_base_train_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
root,5684,100,1.3,165352,162268,pts/0,R,19:51,805,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
root,5684,98.6,1.5,182776,179692,pts/0,R,19:51,810,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
root,5684,98.0,1.6,193996,191044,pts/0,R,19:51,815,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
root,5684,97.9,1.6,194260,191308,pts/0,R,19:51,820,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
root,5684,97.9,1.6,195844,192892,pts/0,R,19:51,825,../run_peak_train_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
