USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,26530,3.7,0.0,6128,3888,pts/0,S,15:44,40,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26563,1.6,0.0,6132,4108,pts/0,S,15:44,40,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 comp/require.t
root,26530,2.4,0.0,6128,3908,pts/0,S,15:44,45,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26530,1.0,0.0,6184,4000,pts/0,S,15:44,50,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26530,0.7,0.0,6184,4004,pts/0,S,15:44,55,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26931,2.8,0.0,6388,4544,pts/0,S,15:46,55,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/sselect.t
root,26530,0.4,0.0,6184,4004,pts/0,S,15:44,60,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26931,0.0,0.0,6388,4544,pts/0,S,15:46,60,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/sselect.t
root,26530,0.4,0.0,6184,4004,pts/0,S,15:44,65,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,27030,0.2,0.0,8296,6208,pts/0,S,15:47,65,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/stat.t
root,26530,0.3,0.0,6184,4008,pts/0,S,15:44,70,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,26530,0.3,0.0,6184,4008,pts/0,S,15:44,75,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,27246,150,0.0,12004,10396,pts/0,R,15:49,75,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit re/pat_rt_report.t
root,26530,0.4,0.0,6184,4008,pts/0,S,15:44,80,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,27352,133,0.0,11284,9508,pts/0,R,15:49,80,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit uni/variables.t
root,32316,4.5,0.0,6188,3980,pts/0,S,19:40,210,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,32316,2.3,0.0,6188,3980,pts/0,S,19:40,215,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,32548,0.0,0.0,6388,4500,pts/0,S,19:41,215,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/sselect.t
root,32316,1.4,0.0,6188,3980,pts/0,S,19:40,220,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,32600,1.7,0.0,8296,6168,pts/0,S,19:41,220,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/stat.t
root,32316,1.4,0.0,6188,3984,pts/0,S,19:40,225,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,32652,107,0.2,27436,25324,pts/0,R,19:41,225,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit re/pat_psycho.t
root,32316,2.5,0.0,6188,3984,pts/0,S,19:40,230,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
root,32738,103,0.0,11284,9460,pts/0,R,19:41,230,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit uni/variables.t
root,1443,4.3,0.0,5764,3784,pts/0,S,19:42,275,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
root,1735,0.0,0.0,6224,4068,pts/0,S,19:42,275,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit op/sleep.t
root,1443,2.3,0.0,5764,3784,pts/0,S,19:42,280,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
root,1789,0.0,0.0,5964,4244,pts/0,S,19:42,280,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit op/sselect.t
root,1443,1.5,0.0,5764,3784,pts/0,S,19:42,285,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
root,1893,0.7,0.0,7872,5924,pts/0,S,19:42,285,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit op/stat.t
root,1443,1.4,0.0,5764,3788,pts/0,S,19:42,290,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
root,2106,100,0.2,27012,25128,pts/0,R,19:42,290,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit re/pat_psycho.t
root,1443,2.8,0.0,5764,3788,pts/0,S,19:42,295,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
root,2221,95.7,0.0,10876,9196,pts/0,R,19:43,295,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit uni/variables.t
root,4518,104,0.2,34592,32788,pts/0,R,19:44,380,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
root,4518,100,0.4,52584,50356,pts/0,R,19:44,385,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
root,4526,110,0.3,40604,38276,pts/0,R,19:44,390,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib scrabbl.pl
root,4530,102,0.6,75228,73492,pts/0,R,19:44,395,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib splitmail.pl 535 13 25 24 1091 1
root,5394,99.4,0.4,51660,48700,pts/0,R,19:50,710,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
root,5394,99.4,0.4,53772,51600,pts/0,R,19:50,715,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
