USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,27343,80.8,0.3,49892,46868,pts/0,R,15:49,80,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/525.x264_r.test.base --lognum 004.0.5 525.x264_r
root,27343,49.8,0.8,99964,96748,pts/0,S,15:49,85,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/525.x264_r.test.base --lognum 004.0.5 525.x264_r
root,27343,26.0,0.8,99964,96748,pts/0,S,15:49,90,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/525.x264_r.test.base --lognum 004.0.5 525.x264_r
root,27441,0.1,0.0,2228,784,pts/0,S,15:49,90,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,27442,0.1,0.7,99964,93160,pts/0,S,15:49,90,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/525.x264_r.test.base --lognum 004.0.5 525.x264_r
root,27445,100,1.3,174464,158136,pts/0,R,15:49,90,../run_base_test_mytest-64.0000/x264_r_base.mytest-64 --dumpyuv 50 --frames 156 -o BuckBunny_New.264 BuckBunny.yuv 1280x720
root,27343,17.6,0.8,99964,96748,pts/0,S,15:49,95,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/525.x264_r.test.base --lognum 004.0.5 525.x264_r
root,27441,0.0,0.0,2228,784,pts/0,S,15:49,95,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,27442,0.3,0.7,99964,93160,pts/0,S,15:49,95,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/525.x264_r.test.base --lognum 004.0.5 525.x264_r
root,27445,100,1.3,174464,158400,pts/0,R,15:49,95,../run_base_test_mytest-64.0000/x264_r_base.mytest-64 --dumpyuv 50 --frames 156 -o BuckBunny_New.264 BuckBunny.yuv 1280x720
root,27343,13.9,0.8,99964,96748,pts/0,S,15:49,100,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/525.x264_r.test.base --lognum 004.0.5 525.x264_r
root,397,63.3,0.8,100048,96604,pts/0,S,19:41,235,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.base --lognum 009.0.5 525.x264_r
root,523,0.0,0.0,2228,776,pts/0,S,19:41,235,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_base_test_mytest-64.0000 -f inputgen.cmd -e inputgen.err -o inputgen.stdout
root,532,0.0,0.8,100048,94236,pts/0,S,19:41,235,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.base --lognum 009.0.5 525.x264_r
root,397,34.3,0.8,100048,96604,pts/0,S,19:41,240,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.base --lognum 009.0.5 525.x264_r
root,628,0.0,0.0,2228,776,pts/0,S,19:41,240,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,643,0.0,0.7,100048,93800,pts/0,S,19:41,240,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.base --lognum 009.0.5 525.x264_r
root,645,102,1.3,174464,157496,pts/0,R,19:41,240,../run_base_test_mytest-64.0000/x264_r_base.mytest-64 --dumpyuv 50 --frames 156 -o BuckBunny_New.264 BuckBunny.yuv 1280x720
root,397,20.6,0.8,100048,96604,pts/0,S,19:41,245,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.base --lognum 009.0.5 525.x264_r
root,628,0.0,0.0,2228,776,pts/0,S,19:41,245,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,643,0.1,0.7,100048,93800,pts/0,S,19:41,245,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.base --lognum 009.0.5 525.x264_r
root,645,99.7,1.3,174464,158024,pts/0,R,19:41,245,../run_base_test_mytest-64.0000/x264_r_base.mytest-64 --dumpyuv 50 --frames 156 -o BuckBunny_New.264 BuckBunny.yuv 1280x720
root,397,14.8,0.8,100048,96604,pts/0,S,19:41,250,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.base --lognum 009.0.5 525.x264_r
root,628,0.0,0.0,2228,776,pts/0,S,19:41,250,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,643,0.0,0.7,100048,93800,pts/0,S,19:41,250,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.base --lognum 009.0.5 525.x264_r
root,645,99.1,1.3,174464,158288,pts/0,R,19:41,250,../run_base_test_mytest-64.0000/x264_r_base.mytest-64 --dumpyuv 50 --frames 156 -o BuckBunny_New.264 BuckBunny.yuv 1280x720
root,397,11.5,0.8,100048,96604,pts/0,S,19:41,255,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.base --lognum 009.0.5 525.x264_r
root,628,0.0,0.0,2228,776,pts/0,S,19:41,255,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,643,0.1,0.7,100048,93800,pts/0,S,19:41,255,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 5 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.base --lognum 009.0.5 525.x264_r
root,645,98.9,1.3,174464,158288,pts/0,R,19:41,255,../run_base_test_mytest-64.0000/x264_r_base.mytest-64 --dumpyuv 50 --frames 156 -o BuckBunny_New.264 BuckBunny.yuv 1280x720
root,2666,89.1,0.8,99984,96540,pts/0,S,19:43,305,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 16 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/525.x264_r.test.peak --lognum 009.0.16 525.x264_r
root,2822,0.0,0.0,2228,764,pts/0,S,19:43,305,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/525.x264_r/run/run_peak_test_mytest-64.0000 -f inputgen.cmd -e inputgen.err -o inputgen.stdout
