USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,27180,6.4,0.8,97600,94392,pts/0,R,15:49,75,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/523.xalancbmk_r.test.base --lognum 004.0.4 523.xalancbmk_r
root,32666,96.0,0.8,99892,96468,pts/0,S,19:41,230,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.test.base --lognum 009.0.4 523.xalancbmk_r
root,32746,0.0,0.7,99892,93460,pts/0,S,19:41,230,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.test.base --lognum 009.0.4 523.xalancbmk_r
root,2478,98.1,0.8,99856,96412,pts/0,R,19:43,300,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 15 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.test.peak --lognum 009.0.15 523.xalancbmk_r
root,4774,95.8,0.8,99896,96312,pts/0,R,19:46,490,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4774,52.3,0.8,99896,96428,pts/0,S,19:46,495,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4834,0.2,0.0,2228,776,pts/0,S,19:46,495,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/523.xalancbmk_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,4835,0.0,0.8,99896,94076,pts/0,S,19:46,495,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4774,32.5,0.8,99896,96428,pts/0,S,19:46,500,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4834,0.1,0.0,2228,776,pts/0,S,19:46,500,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/523.xalancbmk_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,4835,0.1,0.8,99896,94076,pts/0,S,19:46,500,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4774,23.6,0.8,99896,96428,pts/0,S,19:46,505,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4834,0.0,0.0,2228,776,pts/0,S,19:46,505,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/523.xalancbmk_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,4835,0.1,0.8,99896,94076,pts/0,S,19:46,505,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4774,18.5,0.8,99896,96428,pts/0,S,19:46,510,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4834,0.0,0.0,2228,776,pts/0,S,19:46,510,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/523.xalancbmk_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,4835,0.1,0.8,99896,94076,pts/0,S,19:46,510,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4774,15.2,0.8,99896,96428,pts/0,S,19:46,515,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4834,0.0,0.0,2228,776,pts/0,S,19:46,515,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/523.xalancbmk_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,4835,0.1,0.8,99896,94076,pts/0,S,19:46,515,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4774,12.9,0.8,99896,96428,pts/0,S,19:46,520,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4834,0.0,0.0,2228,776,pts/0,S,19:46,520,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/523.xalancbmk_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,4835,0.1,0.8,99896,94076,pts/0,S,19:46,520,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4774,11.2,0.8,99896,96428,pts/0,S,19:46,525,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4834,0.0,0.0,2228,776,pts/0,S,19:46,525,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/523.xalancbmk_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,4835,0.1,0.8,99896,94076,pts/0,S,19:46,525,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4774,9.9,0.8,99896,96428,pts/0,S,19:46,530,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4834,0.0,0.0,2228,776,pts/0,S,19:46,530,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/523.xalancbmk_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,4835,0.1,0.8,99896,94076,pts/0,R,19:46,530,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4774,8.9,0.8,99896,96428,pts/0,S,19:46,535,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
root,4834,0.0,0.0,2228,776,pts/0,S,19:46,535,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/523.xalancbmk_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,4835,0.1,0.8,99896,94076,pts/0,S,19:46,535,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 4 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/523.xalancbmk_r.train.base --lognum 009.0.4 523.xalancbmk_r
