CMD,%MEM,%CPU,PSR,TIME
specperl -I/home/cpu2017/bi,0.0,133,5,0
specperl -I/home/cpu2017/bi,0.7,20.9,4,5
specperl -I/home/cpu2017/bi,0.7,10.6,4,10
/home/cpu2017/bin/specperl,0.8,84.6,4,10
specperl -I/home/cpu2017/bi,0.6,0.0,5,10
specperl -I/home/cpu2017/bi,0.7,7.1,4,15
/home/cpu2017/bin/specperl,0.8,64.5,5,15
specperl -I/home/cpu2017/bi,0.6,0.3,4,15
/home/cpu2017/bin/specperl,0.8,0.0,5,15
specperl -I/home/cpu2017/bi,0.7,5.3,4,20
/home/cpu2017/bin/specperl,0.8,47.7,5,20
specperl -I/home/cpu2017/bi,0.6,0.5,4,20
/home/cpu2017/bin/specperl,0.8,0.0,5,20
specperl -I/home/cpu2017/bi,0.7,4.2,4,25
/home/cpu2017/bin/specperl,0.8,39.6,4,25
specperl -I/home/cpu2017/bi,0.6,0.6,4,25
/home/cpu2017/bin/specperl,0.8,0.0,4,25
specperl -I/home/cpu2017/bi,0.7,3.5,4,30
/home/cpu2017/bin/specperl,0.8,34.3,5,30
specperl -I/home/cpu2017/bi,0.6,0.6,5,30
specperl -I/home/cpu2017/bi,0.7,3.0,4,35
/home/cpu2017/bin/specperl,0.8,28.4,5,35
specperl -I/home/cpu2017/bi,0.6,0.6,4,35
/home/cpu2017/bin/specperl,0.8,57.6,5,35
/home/cpu2017/bin/specinvok,0.0,0.0,4,35
/home/cpu2017/bin/specperl,0.7,0.0,4,35
../run_base_test_mytest-64.,0.0,4.4,4,35
specperl -I/home/cpu2017/bi,0.7,2.6,5,40
/home/cpu2017/bin/specperl,0.8,24.1,4,40
specperl -I/home/cpu2017/bi,0.6,0.5,4,40
/home/cpu2017/bin/specperl,0.8,28.5,4,40
/home/cpu2017/bin/specinvok,0.0,0.0,5,40
/home/cpu2017/bin/specperl,0.7,0.1,4,40
../run_base_test_mytest-64.,0.0,4.8,4,40
/home/cpu2017/bin/specperl,0.8,18.8,5,40
/home/cpu2017/bin/specinvok,0.0,0.0,5,40
/home/cpu2017/bin/specperl,0.7,0.0,4,40
../run_base_test_mytest-64.,0.0,82.1,5,40
specperl -I/home/cpu2017/bi,0.7,2.3,4,45
/home/cpu2017/bin/specperl,0.8,20.9,4,45
specperl -I/home/cpu2017/bi,0.6,0.4,4,45
/home/cpu2017/bin/specperl,0.8,18.8,5,45
/home/cpu2017/bin/specinvok,0.0,0.0,4,45
/home/cpu2017/bin/specperl,0.7,0.0,4,45
../run_base_test_mytest-64.,0.0,2.7,4,45
/home/cpu2017/bin/specperl,0.8,9.2,5,45
/home/cpu2017/bin/specinvok,0.0,0.0,5,45
/home/cpu2017/bin/specperl,0.7,0.0,4,45
../run_base_test_mytest-64.,1.9,86.0,5,45
specperl -I/home/cpu2017/bi,0.7,2.1,5,50
/home/cpu2017/bin/specperl,0.8,18.3,4,50
specperl -I/home/cpu2017/bi,0.6,0.4,4,50
/home/cpu2017/bin/specperl,0.8,13.9,5,50
/home/cpu2017/bin/specinvok,0.0,0.0,4,50
/home/cpu2017/bin/specperl,0.7,0.1,4,50
../run_base_test_mytest-64.,0.0,1.7,5,50
specperl -I/home/cpu2017/bi,0.7,1.9,5,55
/home/cpu2017/bin/specperl,0.8,16.7,5,55
specperl -I/home/cpu2017/bi,0.6,0.4,5,55
/home/cpu2017/bin/specperl,0.8,11.2,5,55
/home/cpu2017/bin/specinvok,0.0,0.0,4,55
/home/cpu2017/bin/specperl,0.7,0.2,5,55
../run_base_test_mytest-64.,0.0,1.7,5,55
/home/cpu2017/bin/specperl,0.8,47.7,5,55
/home/cpu2017/bin/specinvok,0.0,0.0,4,55
/home/cpu2017/bin/specperl,0.7,0.0,5,55
../run_base_test_mytest-64.,1.4,102,4,55
specperl -I/home/cpu2017/bi,0.7,1.7,5,60
/home/cpu2017/bin/specperl,0.8,15.2,5,60
specperl -I/home/cpu2017/bi,0.6,0.4,5,60
/home/cpu2017/bin/specperl,0.8,9.4,5,60
/home/cpu2017/bin/specinvok,0.0,0.0,4,60
/home/cpu2017/bin/specperl,0.7,0.2,5,60
../run_base_test_mytest-64.,0.0,2.6,4,60
/home/cpu2017/bin/specperl,0.8,21.5,5,60
/home/cpu2017/bin/specinvok,0.0,0.0,5,60
/home/cpu2017/bin/specperl,0.7,0.0,5,60
/home/cpu2017/bin/specperl,0.2,101,5,60
specperl -I/home/cpu2017/bi,0.7,1.6,5,65
/home/cpu2017/bin/specperl,0.8,14.0,5,65
specperl -I/home/cpu2017/bi,0.6,0.4,5,65
/home/cpu2017/bin/specperl,0.8,8.2,5,65
/home/cpu2017/bin/specperl,0.8,98.3,4,65
/home/cpu2017/bin/specinvok,0.0,0.0,5,65
/home/cpu2017/bin/specperl,0.7,0.0,5,65
/home/cpu2017/bin/specperl,0.1,233,5,65
specperl -I/home/cpu2017/bi,0.7,1.5,5,70
/home/cpu2017/bin/specperl,0.8,13.1,5,70
specperl -I/home/cpu2017/bi,0.6,0.3,5,70
/home/cpu2017/bin/specperl,0.8,67.8,5,70
/home/cpu2017/bin/specperl,0.8,93.7,4,70
/home/cpu2017/bin/specinvok,0.0,0.0,5,70
/home/cpu2017/bin/specperl,0.7,0.0,5,70
../run_base_test_mytest-64.,0.3,105,5,70
specperl -I/home/cpu2017/bi,0.7,1.4,5,75
/home/cpu2017/bin/specperl,0.8,12.2,5,75
specperl -I/home/cpu2017/bi,0.6,0.3,5,75
/home/cpu2017/bin/specperl,0.8,39.2,5,75
/home/cpu2017/bin/specperl,0.8,16.9,4,75
/home/cpu2017/bin/specinvok,0.0,0.0,4,75
/home/cpu2017/bin/specperl,0.7,0.0,5,75
../run_base_test_mytest-64.,6.0,99.6,4,75
/home/cpu2017/bin/specinvok,0.0,0.0,5,75
/home/cpu2017/bin/specperl,0.7,0.0,5,75
../run_base_test_mytest-64.,1.3,100,5,75
specperl -I/home/cpu2017/bi,0.7,1.3,5,80
/home/cpu2017/bin/specperl,0.8,11.5,4,80
specperl -I/home/cpu2017/bi,0.6,0.3,5,80
/home/cpu2017/bin/specperl,0.8,24.3,5,80
/home/cpu2017/bin/specinvok,0.0,0.0,5,80
/home/cpu2017/bin/specperl,0.7,0.0,5,80
../run_base_test_mytest-64.,1.3,99.5,5,80
/home/cpu2017/bin/specperl,0.3,126,4,80
specperl -I/home/cpu2017/bi,0.7,1.2,5,85
/home/cpu2017/bin/specperl,0.8,10.8,5,85
specperl -I/home/cpu2017/bi,0.6,0.3,5,85
/home/cpu2017/bin/specperl,0.8,17.6,5,85
/home/cpu2017/bin/specinvok,0.0,0.0,5,85
/home/cpu2017/bin/specperl,0.7,0.0,5,85
../run_base_test_mytest-64.,1.3,98.7,5,85
/home/cpu2017/bin/specperl,0.8,21.4,4,85
/home/cpu2017/bin/specinvok,0.0,0.0,4,85
