%CPU,%MEM,PSR,TIME,PID,CMD
26.1,0.5,6,40,19088,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/548.exchange2_r.test.base --lognum 004.0.8 548.exchange2_r
2.4,0.8,7,45,19088,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/548.exchange2_r.test.base --lognum 004.0.8 548.exchange2_r
0.0,0.0,7,45,19175,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/548.exchange2_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,6,45,19176,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/548.exchange2_r.test.base --lognum 004.0.8 548.exchange2_r
2.5,0.0,6,45,19180,../run_base_test_mytest-64.0000/exchange2_r_base.mytest-64 0
1.7,0.8,7,50,19088,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/548.exchange2_r.test.base --lognum 004.0.8 548.exchange2_r
0.0,0.0,7,50,19175,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/548.exchange2_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,7,50,19176,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/548.exchange2_r.test.base --lognum 004.0.8 548.exchange2_r
4.6,0.0,7,50,19180,../run_base_test_mytest-64.0000/exchange2_r_base.mytest-64 0
1.4,0.8,6,55,19088,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/548.exchange2_r.test.base --lognum 004.0.8 548.exchange2_r
0.0,0.0,6,55,19175,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/548.exchange2_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,6,55,19176,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/548.exchange2_r.test.base --lognum 004.0.8 548.exchange2_r
6.9,0.0,7,55,19180,../run_base_test_mytest-64.0000/exchange2_r_base.mytest-64 0
32.8,0.8,7,75,20141,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 19 --tune peak --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/548.exchange2_r.test.peak --lognum 004.0.19 548.exchange2_r
33.3,0.0,2,75,20253,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/548.exchange2_r/run/run_peak_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
