%CPU,%MEM,PSR,TIME,PID,CMD
1.1,0.0,6,40,19011,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
0.0,0.0,7,40,19130,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit io/crlf.t
0.3,0.0,7,45,19011,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
0.0,0.0,7,45,19270,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/lc.t
0.4,0.0,7,50,19011,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
0.0,0.0,6,50,19338,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/sleep.t
0.4,0.0,6,55,19011,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
0.0,0.0,6,55,19376,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/sselect.t
0.3,0.0,7,60,19011,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
0.5,0.0,7,60,19461,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit op/stat.t
0.4,0.0,6,65,19011,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
105,0.2,6,65,19691,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit re/pat_psycho.t
3.2,0.0,1,65,19702,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
0.8,0.0,2,65,19735,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 comp/require.t
1.0,0.0,6,70,19011,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
6.1,0.0,2,70,19702,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
91.3,0.0,6,70,19894,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I.. -MTestInit uni/variables.t
4.1,0.0,0,75,19702,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
0.5,0.0,4,75,20124,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit op/sleep.t
3.2,0.0,0,80,19702,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
0.2,0.0,2,80,20291,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit op/sselect.t
2.5,0.0,3,85,19702,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
0.3,0.0,5,85,20419,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit op/stat.t
2.5,0.0,6,90,19702,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
101,0.2,6,90,20464,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit re/pat_psycho.t
3.3,0.0,5,95,19702,../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib test.pl
107,0.0,5,95,20566,../../run_peak_test_mytest-64.0000/perlbench_r_peak.mytest-64 -I.. -MTestInit uni/variables.t
117,0.2,1,135,21421,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
99.1,0.2,4,140,21421,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
99.9,0.3,1,145,21421,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
99.6,0.4,1,150,21421,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
99.3,0.4,1,155,21421,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
99.1,0.4,1,160,21421,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
98.9,0.4,1,165,21421,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
98.9,0.4,6,170,21421,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
103,0.0,0,175,21469,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib perfect.pl b 3
99.6,0.0,2,180,21469,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib perfect.pl b 3
99.1,0.0,2,185,21469,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib perfect.pl b 3
104,0.3,3,190,21516,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib scrabbl.pl
100,0.3,3,195,21516,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib scrabbl.pl
99.3,0.3,3,200,21516,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib scrabbl.pl
99.3,0.3,2,205,21516,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib scrabbl.pl
99.1,0.3,2,210,21516,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib scrabbl.pl
102,0.5,1,215,21556,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib splitmail.pl 535 13 25 24 1091 1
28.2,0.6,1,220,21556,../run_base_train_mytest-64.0000/perlbench_r_base.mytest-64 -I./lib splitmail.pl 535 13 25 24 1091 1
4.6,0.2,2,235,21959,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
6.5,0.2,1,240,21959,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
7.5,0.3,3,245,21959,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
7.4,0.4,0,250,21959,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
6.9,0.4,0,255,21959,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
6.6,0.4,4,260,21959,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib diffmail.pl 2 550 15 24 23 100
9.6,0.0,2,265,22353,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib perfect.pl b 3
6.4,0.0,0,270,22353,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib perfect.pl b 3
260,0.1,2,275,22543,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib scrabbl.pl
101,0.3,3,280,22543,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib scrabbl.pl
99.8,0.3,3,285,22543,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I. -I./lib scrabbl.pl
107,0.4,3,290,22601,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib splitmail.pl 535 13 25 24 1091 1
98.8,0.5,0,295,22601,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib splitmail.pl 535 13 25 24 1091 1
98.4,0.6,0,300,22601,../run_peak_train_mytest-64.0000/perlbench_r_peak.mytest-64 -I./lib splitmail.pl 535 13 25 24 1091 1
11.8,1.5,7,505,25190,../run_base_refrate_mytest-64.0007/perlbench_r_base.mytest-64 -I./lib checkspam.pl 2500 5 25 11 150 1 1 1 1
11.8,1.5,4,505,25191,../run_base_refrate_mytest-64.0007/perlbench_r_base.mytest-64 -I./lib checkspam.pl 2500 5 25 11 150 1 1 1 1
11.8,1.5,5,505,25192,../run_base_refrate_mytest-64.0007/perlbench_r_base.mytest-64 -I./lib checkspam.pl 2500 5 25 11 150 1 1 1 1
11.9,1.5,6,505,25193,../run_base_refrate_mytest-64.0007/perlbench_r_base.mytest-64 -I./lib checkspam.pl 2500 5 25 11 150 1 1 1 1
11.7,1.5,3,505,25194,../run_base_refrate_mytest-64.0007/perlbench_r_base.mytest-64 -I./lib checkspam.pl 2500 5 25 11 150 1 1 1 1
