%CPU,%MEM,PSR,TIME,PID,CMD
33.8,0.6,7,35,10494,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/502.gcc_r.test.base --lognum 003.0.1 502.gcc_r
28.9,0.8,7,40,10494,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/502.gcc_r.test.base --lognum 003.0.1 502.gcc_r
30.0,0.6,7,70,11316,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 12 --tune peak --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/502.gcc_r.test.peak --lognum 003.0.12 502.gcc_r
26.6,0.8,7,75,11316,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 12 --tune peak --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/502.gcc_r.test.peak --lognum 003.0.12 502.gcc_r
29.4,0.8,7,175,12961,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/502.gcc_r.train.base --lognum 003.0.1 502.gcc_r
26.4,0.8,7,180,12961,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/502.gcc_r.train.base --lognum 003.0.1 502.gcc_r
0.0,0.0,7,180,13176,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/502.gcc_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,4,180,13177,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/502.gcc_r.train.base --lognum 003.0.1 502.gcc_r
44.2,0.4,4,180,13181,../run_base_train_mytest-64.0000/cpugcc_r_base.mytest-64 200.c -O3 -finline-limit=50000 -o 200.opts-O3_-finline-limit_50000.s
16.4,0.8,7,185,12961,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 1 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/502.gcc_r.train.base --lognum 003.0.1 502.gcc_r
