%CPU,%MEM,PSR,TIME,PID,CMD
28.2,0.1,7,50,10864,../run_base_test_mytest-64.0000/leela_r_base.mytest-64 test.sgf
26.6,0.1,7,55,10864,../run_base_test_mytest-64.0000/leela_r_base.mytest-64 test.sgf
27.8,0.1,7,60,10864,../run_base_test_mytest-64.0000/leela_r_base.mytest-64 test.sgf
31.9,0.1,7,110,12074,../run_peak_test_mytest-64.0000/leela_r_peak.mytest-64 test.sgf
26.5,0.1,7,115,12074,../run_peak_test_mytest-64.0000/leela_r_peak.mytest-64 test.sgf
28.3,0.1,4,120,12074,../run_peak_test_mytest-64.0000/leela_r_peak.mytest-64 test.sgf
29.1,0.1,7,125,12074,../run_peak_test_mytest-64.0000/leela_r_peak.mytest-64 test.sgf
33.6,0.0,4,270,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
32.7,0.1,4,275,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
31.6,0.1,7,280,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
29.7,0.1,4,285,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
28.5,0.1,4,290,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
29.3,0.1,4,295,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
29.0,0.1,4,300,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
28.6,0.1,7,305,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
29.1,0.1,7,310,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
28.7,0.1,7,315,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
28.8,0.1,7,320,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
28.5,0.1,7,325,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
28.6,0.1,4,330,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
28.3,0.1,4,335,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
28.0,0.1,7,340,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,7,345,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.6,0.1,7,350,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.5,0.1,7,355,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.6,0.1,7,360,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.7,0.1,4,365,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,7,370,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.6,0.1,7,375,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.6,0.1,4,380,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,4,385,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,7,390,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,4,395,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,4,400,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,7,405,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.7,0.1,7,410,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.6,0.1,7,415,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.5,0.1,7,420,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.4,0.1,4,425,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.4,0.1,7,430,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.6,0.1,4,435,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.7,0.1,4,440,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.7,0.1,7,445,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.7,0.1,7,450,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,7,455,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.7,0.1,7,460,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.7,0.1,4,465,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,4,470,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,4,475,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.7,0.1,4,480,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.6,0.1,4,485,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.6,0.1,7,490,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.5,0.1,7,495,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.5,0.1,7,500,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.4,0.1,4,505,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.4,0.1,7,510,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.3,0.1,4,515,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.4,0.1,4,520,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.5,0.1,4,525,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.5,0.1,7,530,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.5,0.1,4,535,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.6,0.1,4,540,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.6,0.1,4,545,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.7,0.1,4,550,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,7,555,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,7,560,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,7,565,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.7,0.1,7,570,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.8,0.1,4,575,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.9,0.1,4,580,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.9,0.1,4,585,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
27.9,0.1,4,590,13410,../run_base_train_mytest-64.0000/leela_r_base.mytest-64 train.sgf
35.8,0.0,4,605,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
33.7,0.1,4,610,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
33.1,0.1,4,615,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
32.5,0.1,7,620,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
31.0,0.1,4,625,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
31.2,0.1,4,630,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
31.4,0.1,4,635,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
31.5,0.1,4,640,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
31.6,0.1,4,645,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
31.7,0.1,4,650,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
31.8,0.1,4,655,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
32.2,0.1,4,660,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
32.4,0.1,7,665,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
33.3,0.1,4,670,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
34.5,0.1,4,675,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
35.4,0.1,4,680,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
36.2,0.1,4,685,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
36.9,0.1,7,690,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
37.6,0.1,4,695,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
38.2,0.1,4,700,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
38.7,0.1,7,705,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
39.2,0.1,4,710,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
39.7,0.1,7,715,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
40.1,0.1,7,720,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
40.5,0.1,7,725,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
40.8,0.1,4,730,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
41.1,0.1,7,735,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
41.5,0.1,7,740,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
42.9,0.1,4,745,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
44.8,0.1,7,750,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
46.6,0.1,7,755,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
48.2,0.1,7,760,14133,../run_peak_train_mytest-64.0000/leela_r_peak.mytest-64 train.sgf
25.8,0.0,7,16605,28471,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
39.2,0.0,4,16605,28472,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.5,0.0,7,16605,28473,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
32.1,0.0,4,16605,28474,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
26.7,0.0,7,16605,28475,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
35.7,0.0,4,16605,28476,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
25.8,0.0,4,16605,28477,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
29.9,0.0,4,16610,28471,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.9,0.0,4,16610,28472,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
30.5,0.0,7,16610,28473,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.7,0.0,4,16610,28474,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
30.0,0.0,7,16610,28475,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.2,0.0,4,16610,28476,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
24.8,0.0,7,16610,28477,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.7,0.0,4,16615,28471,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.1,0.0,4,16615,28472,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
31.7,0.0,7,16615,28473,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
26.4,0.0,4,16615,28474,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
31.5,0.0,7,16615,28475,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
26.6,0.0,4,16615,28476,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.6,0.0,7,16615,28477,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
26.8,0.0,7,16620,28471,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.8,0.0,4,16620,28472,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
29.6,0.0,4,16620,28473,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.3,0.0,4,16620,28474,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
29.5,0.0,7,16620,28475,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.5,0.0,4,16620,28476,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.5,0.0,7,16620,28477,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.3,0.0,7,16625,28471,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.8,0.0,7,16625,28472,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.4,0.0,4,16625,28473,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.5,0.0,4,16625,28474,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
30.3,0.0,7,16625,28475,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.6,0.0,4,16625,28476,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.8,0.0,7,16625,28477,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.6,0.0,4,16630,28471,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.3,0.0,7,16630,28472,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
29.3,0.0,4,16630,28473,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.5,0.0,4,16630,28474,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
29.3,0.0,7,16630,28475,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.6,0.0,4,16630,28476,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.1,0.0,7,16630,28477,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.2,0.0,7,16635,28471,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.2,0.0,4,16635,28472,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.6,0.0,4,16635,28473,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
27.9,0.0,7,16635,28474,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
29.9,0.0,7,16635,28475,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
28.0,0.0,4,16635,28476,../run_base_refrate_mytest-64.0007/leela_r_base.mytest-64 ref.sgf
