%CPU,%MEM,PSR,TIME,PID,CMD
28.6,0.5,4,35,10496,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
23.9,0.8,7,40,10496,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
0.0,0.0,7,40,10697,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/520.omnetpp_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,4,40,10698,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
26.2,0.3,4,40,10700,../run_base_test_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
13.6,0.8,7,45,10496,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
0.0,0.0,7,45,10697,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/520.omnetpp_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.1,0.7,4,45,10698,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
30.1,1.3,7,45,10700,../run_base_test_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
9.5,0.8,7,50,10496,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
0.0,0.0,7,50,10697,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/520.omnetpp_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.1,0.7,4,50,10698,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
30.4,1.4,7,50,10700,../run_base_test_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
7.3,0.8,7,55,10496,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
0.0,0.0,7,55,10697,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/520.omnetpp_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.1,0.7,4,55,10698,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
30.4,1.4,7,55,10700,../run_base_test_mytest-64.0000/omnetpp_r_base.mytest-64 -c General -r 0
6.1,0.8,7,60,10496,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
0.0,0.0,4,60,11062,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/520.omnetpp_r/run/run_base_test_mytest-64.0000 -f compare.cmd -E -e compare.err -o compare.stdout
0.0,0.7,7,60,11063,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
32.0,0.2,7,60,11065,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/specdiff -m -l 10 --abstol 1e-06 --reltol 1e-05 /home/cpu2017/benchspec/CPU/520.omnetpp_r/data/test/output/General-0.sca General-0.sca
5.1,0.8,7,65,10496,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
0.0,0.0,4,65,11062,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/520.omnetpp_r/run/run_base_test_mytest-64.0000 -f compare.cmd -E -e compare.err -o compare.stdout
0.0,0.7,4,65,11063,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 3 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.base --lognum 003.0.3 520.omnetpp_r
33.5,0.2,7,65,11065,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/specdiff -m -l 10 --abstol 1e-06 --reltol 1e-05 /home/cpu2017/benchspec/CPU/520.omnetpp_r/data/test/output/General-0.sca General-0.sca
30.1,0.8,4,75,11395,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 14 --tune peak --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.peak --lognum 003.0.14 520.omnetpp_r
16.1,0.8,4,80,11395,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 14 --tune peak --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.peak --lognum 003.0.14 520.omnetpp_r
0.0,0.0,4,80,11466,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/520.omnetpp_r/run/run_peak_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,4,80,11467,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 14 --tune peak --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.peak --lognum 003.0.14 520.omnetpp_r
33.2,1.2,7,80,11469,../run_peak_test_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
10.6,0.8,4,85,11395,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 14 --tune peak --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.peak --lognum 003.0.14 520.omnetpp_r
0.0,0.0,4,85,11466,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/520.omnetpp_r/run/run_peak_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.1,0.7,4,85,11467,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 14 --tune peak --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/520.omnetpp_r.test.peak --lognum 003.0.14 520.omnetpp_r
29.7,1.4,7,85,11469,../run_peak_test_mytest-64.0000/omnetpp_r_peak.mytest-64 -c General -r 0
