%CPU,%MEM,PSR,TIME,PID,CMD
33.8,0.6,7,35,10493,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/500.perlbench_r.test.base --lognum 003.0.0 500.perlbench_r
29.2,0.8,7,40,10493,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/500.perlbench_r.test.base --lognum 003.0.0 500.perlbench_r
21.4,0.8,4,45,10493,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/500.perlbench_r.test.base --lognum 003.0.0 500.perlbench_r
0.0,0.0,7,45,10749,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,4,45,10750,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/500.perlbench_r.test.base --lognum 003.0.0 500.perlbench_r
1.1,0.0,4,45,10784,../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 -I. -I./lib test.pl
0.0,0.0,4,45,10826,../../run_base_test_mytest-64.0000/perlbench_r_base.mytest-64 comp/require.t
15.2,0.8,4,50,10493,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/500.perlbench_r.test.base --lognum 003.0.0 500.perlbench_r
0.0,0.0,7,50,10749,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/500.perlbench_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,4,50,10750,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 0 --tune base --logfile /home/cpu2017/tmp/CPU2017.003.0/templogs/500.perlbench_r.test.base --lognum 003.0.0 500.perlbench_r
